method,alpha,beta_text,beta_visual_pos,beta_visual_neg,output_dir,recall@1,precision@1,recall@5,precision@5,recall@10,precision@10
hybrid_text_visual_fusion,1.0,1.0,0.25,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos0.25_bvneg0.00,0.057926829268292686,0.057926829268292686,0.15182926829268292,0.04097560975609756,0.22865853658536586,0.03384146341463415
hybrid_text_visual_fusion,1.0,1.0,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos0.50_bvneg0.50,0.056707317073170734,0.056707317073170734,0.16158536585365854,0.04182926829268293,0.22865853658536586,0.03323170731707317
hybrid_text_visual_fusion,1.0,2.0,1.0,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos1.00_bvneg0.00,0.04939024390243903,0.04939024390243903,0.15548780487804878,0.03853658536585366,0.22865853658536586,0.032621951219512196
hybrid_text_visual_fusion,2.0,2.0,0.5,0.0,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext2.00_bvpos0.50_bvneg0.00,0.057926829268292686,0.057926829268292686,0.15182926829268292,0.04097560975609756,0.22865853658536586,0.03384146341463415
hybrid_text_visual_fusion,2.0,0.5,1.0,0.5,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext0.50_bvpos1.00_bvneg0.50,0.05609756097560976,0.05609756097560976,0.15365853658536585,0.04000000000000001,0.2274390243902439,0.03359756097560976
hybrid_text_visual_fusion,3.0,2.0,1.0,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext2.00_bvpos1.00_bvneg0.00,0.05731707317073171,0.05731707317073171,0.15,0.040609756097560984,0.22621951219512196,0.03408536585365854
hybrid_text_visual_fusion,1.0,0.5,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext0.50_bvpos0.50_bvneg0.50,0.05426829268292683,0.05426829268292683,0.14573170731707316,0.03878048780487805,0.22195121951219512,0.03225609756097561
hybrid_text_visual_fusion,3.0,1.0,1.0,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos1.00_bvneg0.50,0.05548780487804878,0.05548780487804878,0.13719512195121952,0.037317073170731706,0.21951219512195122,0.032926829268292684
hybrid_text_visual_fusion,1.0,1.0,1.0,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos1.00_bvneg0.00,0.048170731707317074,0.048170731707317074,0.1469512195121951,0.03743902439024391,0.2176829268292683,0.031097560975609756
hybrid_text_visual_fusion,1.0,2.0,1.0,0.25,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos1.00_bvneg0.25,0.046341463414634146,0.046341463414634146,0.1469512195121951,0.036463414634146346,0.21646341463414634,0.03128048780487805
hybrid_text_visual_fusion,1.0,1.0,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos0.25_bvneg0.50,0.05304878048780488,0.05304878048780488,0.14390243902439023,0.03865853658536586,0.21402439024390243,0.032134146341463415
hybrid_text_visual_fusion,3.0,1.0,1.0,0.25,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos1.00_bvneg0.25,0.05365853658536585,0.05365853658536585,0.13658536585365855,0.037317073170731706,0.21280487804878048,0.032134146341463415
hybrid_text_visual_fusion,3.0,1.0,1.0,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos1.00_bvneg0.00,0.051829268292682924,0.051829268292682924,0.13414634146341464,0.03695121951219512,0.21036585365853658,0.031890243902439025
hybrid_text_visual_fusion,3.0,0.5,1.0,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext0.50_bvpos1.00_bvneg0.50,0.05060975609756098,0.05060975609756098,0.12865853658536586,0.03536585365853658,0.2097560975609756,0.03152439024390244
