method,alpha,beta_text,beta_visual_pos,beta_visual_neg,output_dir,recall@1,precision@1,recall@5,precision@5,recall@10,precision@10
hybrid_text_visual_fusion,1.0,1.0,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos0.50_bvneg0.50,0.056707317073170734,0.056707317073170734,0.1628048780487805,0.04158536585365854,0.23353658536585367,0.03414634146341464
hybrid_text_visual_fusion,2.0,0.5,1.0,0.0,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext0.50_bvpos1.00_bvneg0.00,0.051829268292682924,0.051829268292682924,0.1548780487804878,0.04073170731707317,0.23170731707317074,0.03414634146341464
hybrid_text_visual_fusion,2.0,0.5,1.0,0.25,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext0.50_bvpos1.00_bvneg0.25,0.05365853658536585,0.05365853658536585,0.1548780487804878,0.040609756097560984,0.23170731707317074,0.03432926829268293
hybrid_text_visual_fusion,3.0,2.0,1.0,0.0,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext2.00_bvpos1.00_bvneg0.00,0.05914634146341463,0.05914634146341463,0.15182926829268292,0.04158536585365854,0.23109756097560977,0.034207317073170734
hybrid_text_visual_fusion,2.0,0.5,1.0,0.5,outputs\hybrid_fusion_run\test_subset_alpha2.00_btext0.50_bvpos1.00_bvneg0.50,0.05426829268292683,0.05426829268292683,0.15182926829268292,0.039878048780487806,0.2304878048780488,0.03384146341463415
hybrid_text_visual_fusion,1.0,2.0,1.0,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext2.00_bvpos1.00_bvneg0.00,0.04878048780487805,0.04878048780487805,0.15,0.0376829268292683,0.22926829268292684,0.0325
hybrid_text_visual_fusion,1.0,0.5,0.5,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext0.50_bvpos0.50_bvneg0.50,0.05548780487804878,0.05548780487804878,0.15182926829268292,0.039634146341463415,0.22378048780487805,0.032378048780487806
hybrid_text_visual_fusion,1.0,1.0,1.0,0.0,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos1.00_bvneg0.00,0.0475609756097561,0.0475609756097561,0.14512195121951219,0.036463414634146346,0.22134146341463415,0.031158536585365854
hybrid_text_visual_fusion,1.0,1.0,0.25,0.5,outputs\hybrid_fusion_run\test_subset_alpha1.00_btext1.00_bvpos0.25_bvneg0.50,0.05609756097560976,0.05609756097560976,0.14512195121951219,0.039878048780487806,0.2201219512195122,0.0325
hybrid_text_visual_fusion,3.0,1.0,1.0,0.5,outputs\hybrid_fusion_run\test_subset_alpha3.00_btext1.00_bvpos1.00_bvneg0.50,0.054878048780487805,0.054878048780487805,0.14146341463414633,0.03865853658536586,0.2201219512195122,0.032926829268292684
