attribute,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Male,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young
5_o_Clock_Shadow,1.000000238418579,-0.6952741146087646,-0.4324534237384796,0.6820950508117676,0.34879106283187866,-0.42230504751205444,-0.5994977951049805,0.6276208162307739,0.3438799977302551,-0.5493375062942505,-0.051840849220752716,-0.22534550726413727,0.7348377704620361,0.31992241740226746,0.31813114881515503,0.31151139736175537,0.7852199077606201,0.2374587059020996,-0.7056357860565186,-0.47920477390289307,0.8434929847717285,-0.3469562530517578,0.7205004692077637,-0.08928593248128891,-0.9043326377868652,-0.35539379715919495,-0.4646839201450348,-0.4243907928466797,0.2094883918762207,-0.43554478883743286,0.8691504001617432,-0.28086555004119873,0.36039263010025024,-0.6120373010635376,-0.7061746120452881,0.31978967785835266,-0.7625921964645386,-0.7756005525588989,0.5422437191009521,-0.2527317702770233
Arched_Eyebrows,-0.6952741146087646,0.9999998807907104,0.8560807704925537,-0.8052825331687927,-0.603675365447998,0.38416850566864014,0.8300222158432007,-0.7713659405708313,-0.18661214411258698,0.689128041267395,-0.4111928939819336,0.42934051156044006,-0.44775310158729553,-0.6538426280021667,-0.6055034399032593,-0.6826754212379456,-0.7058252692222595,-0.5525356531143188,0.9728941917419434,0.6292030811309814,-0.9184302091598511,0.32775676250457764,-0.7083522081375122,-0.17959105968475342,0.7892077565193176,0.6285251379013062,0.39542263746261597,0.8287253379821777,-0.5090427398681641,0.8135117292404175,-0.6910257339477539,0.46098029613494873,-0.3349725604057312,0.8731146454811096,0.9109199047088623,-0.6164921522140503,0.9645805954933167,0.9194262027740479,-0.6844998002052307,0.5811178684234619
Attractive,-0.4324534237384796,0.8560807704925537,1.000000238418579,-0.780306339263916,-0.7338052988052368,0.40861594676971436,0.7386382818222046,-0.8228991031646729,-0.08097442239522934,0.6228205561637878,-0.5908007621765137,0.6103011965751648,-0.1828717440366745,-0.8213056325912476,-0.7634725570678711,-0.7807250022888184,-0.6247144937515259,-0.6863611936569214,0.9007406234741211,0.48892587423324585,-0.8030475378036499,0.15514019131660461,-0.6659955382347107,-0.27852240204811096,0.6509521007537842,0.6877796649932861,0.4805924892425537,0.8449569940567017,-0.6944457292556763,0.7581135630607605,-0.5429627299308777,0.39020437002182007,-0.08000005781650543,0.8070710897445679,0.7197929620742798,-0.684996485710144,0.8801583051681519,0.7472819089889526,-0.698455274105072,0.7965202331542969
Bags_Under_Eyes,0.6820950508117676,-0.8052825331687927,-0.780306339263916,1.000000238418579,0.7465336918830872,-0.48026448488235474,-0.7979021072387695,0.9299678802490234,0.1762203872203827,-0.6328037977218628,0.12701982259750366,-0.4490240514278412,0.46544867753982544,0.7981957197189331,0.8288216590881348,0.6047362685203552,0.6632779836654663,0.7679798007011414,-0.8420708179473877,-0.26963987946510315,0.8924673795700073,-0.0801897644996643,0.6945405006408691,0.09692224860191345,-0.7410467863082886,-0.4072531461715698,-0.559163510799408,-0.6943647861480713,0.7055803537368774,-0.5429878830909729,0.6618518829345703,-0.09287801384925842,0.2589183747768402,-0.7523723840713501,-0.6842111349105835,0.40942811965942383,-0.8645510673522949,-0.7830231189727783,0.8879873752593994,-0.7769888639450073
Bald,0.34879106283187866,-0.603675365447998,-0.7338052988052368,0.7465336918830872,1.0000004768371582,-0.4147385358810425,-0.566817045211792,0.8048374652862549,0.02312108501791954,-0.5096770524978638,0.19651564955711365,-0.4732920527458191,0.1779310703277588,0.8598873615264893,0.8561305999755859,0.6638303995132446,0.5458461046218872,0.767657995223999,-0.642114520072937,-0.20658791065216064,0.6567797660827637,-0.044663358479738235,0.5856279134750366,0.06407894194126129,-0.5356143712997437,-0.3389435410499573,-0.46787750720977783,-0.57874596118927,0.8069765567779541,-0.44736447930336,0.4666612148284912,-0.1192292645573616,0.038017235696315765,-0.6169513463973999,-0.49353981018066406,0.4010169506072998,-0.6528422832489014,-0.5737425088882446,0.7915025949478149,-0.7873340249061584
Bangs,-0.42230504751205444,0.38416850566864014,0.40861594676971436,-0.48026448488235474,-0.4147385358810425,0.9999998807907104,0.37090104818344116,-0.46566241979599,-0.12849058210849762,0.38911622762680054,-0.07728181034326553,0.31241369247436523,-0.28861069679260254,-0.4275081157684326,-0.4051814377307892,-0.3147655725479126,-0.4455223083496094,-0.3506354093551636,0.46626684069633484,0.22858557105064392,-0.4829053282737732,0.04714855179190636,-0.44749903678894043,0.05165347829461098,0.47869929671287537,0.2007598876953125,0.46925657987594604,0.3287928104400635,-0.47962331771850586,0.3363712728023529,-0.4192725419998169,0.1722187101840973,-0.06699518859386444,0.45234405994415283,0.3937702775001526,-0.3003719449043274,0.4945552945137024,0.5453500747680664,-0.4569583833217621,0.2818371653556824
Big_Lips,-0.5994977951049805,0.8300222158432007,0.7386382818222046,-0.7979021072387695,-0.566817045211792,0.37090104818344116,0.9999999403953552,-0.6397207975387573,0.040439385920763016,0.48544925451278687,-0.3349699378013611,0.3129235506057739,-0.29299265146255493,-0.5869737267494202,-0.603978157043457,-0.5804872512817383,-0.49798572063446045,-0.6139389276504517,0.8242411613464355,0.38593676686286926,-0.7840911746025085,0.19513557851314545,-0.49231189489364624,-0.11508408188819885,0.6099976897239685,0.44657522439956665,0.3892316222190857,0.6317148208618164,-0.49463826417922974,0.5698307752609253,-0.5894221067428589,0.216071218252182,-0.29230737686157227,0.715603768825531,0.7263089418411255,-0.4369634985923767,0.8201544284820557,0.748587965965271,-0.7040802240371704,0.657004177570343
Big_Nose,0.6276208162307739,-0.7713659405708313,-0.8228991031646729,0.9299678802490234,0.8048374652862549,-0.46566241979599,-0.6397207975387573,1.0,0.2777111828327179,-0.6634325981140137,0.15884873270988464,-0.5770008563995361,0.4647364914417267,0.8889185190200806,0.8832716345787048,0.7047203183174133,0.7508477568626404,0.7504507899284363,-0.8153172731399536,-0.275052547454834,0.8803843855857849,-0.06917477399110794,0.7998615503311157,0.10476769506931305,-0.7777880430221558,-0.41685718297958374,-0.6137335300445557,-0.7250065207481384,0.7609093189239502,-0.5436738729476929,0.666336178779602,-0.1257050782442093,0.17125728726387024,-0.7470337152481079,-0.6381027698516846,0.48969781398773193,-0.8453432321548462,-0.7456963658332825,0.8684250116348267,-0.7943236231803894
Black_Hair,0.3438799977302551,-0.18661214411258698,-0.08097442239522934,0.1762203872203827,0.02312108501791954,-0.12849058210849762,0.040439385920763016,0.2777111828327179,1.0,-0.577362060546875,-0.13878512382507324,-0.3756251931190491,0.6356327533721924,0.10253897309303284,0.0207180455327034,0.12029937654733658,0.313709557056427,-0.09972155839204788,-0.2242889553308487,-0.180103600025177,0.29200121760368347,-0.1937001347541809,0.3542260229587555,-0.06025984138250351,-0.3348929286003113,0.01771904155611992,-0.17342087626457214,-0.30264049768447876,-0.014643874019384384,-0.28422844409942627,0.2736016511917114,-0.1315383017063141,0.49011754989624023,-0.3537135124206543,-0.19583478569984436,0.025698136538267136,-0.24605023860931396,-0.33698582649230957,0.13971075415611267,0.1237282007932663
Blond_Hair,-0.5493375062942505,0.689128041267395,0.6228205561637878,-0.6328037977218628,-0.5096770524978638,0.38911622762680054,0.48544925451278687,-0.6634325981140137,-0.577362060546875,1.0000003576278687,-0.24630913138389587,0.22043654322624207,-0.5444305539131165,-0.5319048762321472,-0.47373491525650024,-0.5385898947715759,-0.5795754194259644,-0.3803158402442932,0.732957661151886,0.48155468702316284,-0.7098488807678223,0.2842572331428528,-0.6036624312400818,-0.10942839831113815,0.6342992782592773,0.43727660179138184,0.3783422112464905,0.7075995802879333,-0.3945104479789734,0.7098788022994995,-0.5518242120742798,0.3497743606567383,-0.3154165744781494,0.7078691720962524,0.6448163986206055,-0.4538012146949768,0.7288877964019775,0.77482008934021,-0.5382105112075806,0.3757663369178772
