method,alpha,beta_pos,beta_neg,output_dir,recall@1,precision@1,recall@5,precision@5,recall@10,precision@10
visual_direction_retrieval,2.0,1.0,0.5,outputs\visual_direction_run\test_subset_alpha2.00_bpos1.00_bneg0.50,0.05060975609756098,0.05060975609756098,0.14634146341463414,0.03853658536585366,0.21829268292682927,0.03225609756097561
visual_direction_retrieval,1.0,0.5,0.5,outputs\visual_direction_run\test_subset_alpha1.00_bpos0.50_bneg0.50,0.0475609756097561,0.0475609756097561,0.1323170731707317,0.03560975609756098,0.20853658536585365,0.030853658536585366
visual_direction_retrieval,2.0,1.0,1.0,outputs\visual_direction_run\test_subset_alpha2.00_bpos1.00_bneg1.00,0.0475609756097561,0.0475609756097561,0.1323170731707317,0.03560975609756098,0.20853658536585365,0.030853658536585366
visual_direction_retrieval,2.0,2.0,0.5,outputs\visual_direction_run\test_subset_alpha2.00_bpos2.00_bneg0.50,0.042682926829268296,0.042682926829268296,0.1353658536585366,0.03463414634146342,0.19634146341463415,0.029085365853658538
visual_direction_retrieval,1.0,1.0,0.5,outputs\visual_direction_run\test_subset_alpha1.00_bpos1.00_bneg0.50,0.03902439024390244,0.03902439024390244,0.12439024390243902,0.03231707317073171,0.1902439024390244,0.027865853658536586
visual_direction_retrieval,2.0,2.0,1.0,outputs\visual_direction_run\test_subset_alpha2.00_bpos2.00_bneg1.00,0.03902439024390244,0.03902439024390244,0.12439024390243902,0.03231707317073171,0.1902439024390244,0.027865853658536586
visual_direction_retrieval,1.0,0.5,1.0,outputs\visual_direction_run\test_subset_alpha1.00_bpos0.50_bneg1.00,0.04085365853658537,0.04085365853658537,0.12073170731707317,0.03219512195121951,0.18292682926829268,0.027134146341463414
visual_direction_retrieval,2.0,1.0,2.0,outputs\visual_direction_run\test_subset_alpha2.00_bpos1.00_bneg2.00,0.04085365853658537,0.04085365853658537,0.12073170731707317,0.03219512195121951,0.18292682926829268,0.027134146341463414
visual_direction_retrieval,1.0,0.5,2.0,outputs\visual_direction_run\test_subset_alpha1.00_bpos0.50_bneg2.00,0.036585365853658534,0.036585365853658534,0.11463414634146342,0.030853658536585366,0.1774390243902439,0.02634146341463415
visual_direction_retrieval,2.0,0.5,0.5,outputs\visual_direction_run\test_subset_alpha2.00_bpos0.50_bneg0.50,0.043292682926829265,0.043292682926829265,0.1152439024390244,0.03231707317073171,0.17560975609756097,0.0275
visual_direction_retrieval,0.5,0.5,0.5,outputs\visual_direction_run\test_subset_alpha0.50_bpos0.50_bneg0.50,0.03231707317073171,0.03231707317073171,0.11036585365853659,0.028292682926829273,0.16890243902439026,0.024695121951219513
visual_direction_retrieval,1.0,1.0,1.0,outputs\visual_direction_run\test_subset_alpha1.00_bpos1.00_bneg1.00,0.03231707317073171,0.03231707317073171,0.11036585365853659,0.028292682926829273,0.16890243902439026,0.024695121951219513
visual_direction_retrieval,2.0,2.0,2.0,outputs\visual_direction_run\test_subset_alpha2.00_bpos2.00_bneg2.00,0.03231707317073171,0.03231707317073171,0.11036585365853659,0.028292682926829273,0.16890243902439026,0.024695121951219513
visual_direction_retrieval,2.0,0.5,1.0,outputs\visual_direction_run\test_subset_alpha2.00_bpos0.50_bneg1.00,0.041463414634146344,0.041463414634146344,0.10792682926829268,0.03048780487804878,0.16646341463414635,0.02609756097560976
visual_direction_retrieval,1.0,2.0,0.5,outputs\visual_direction_run\test_subset_alpha1.00_bpos2.00_bneg0.50,0.03719512195121951,0.03719512195121951,0.10060975609756098,0.02475609756097561,0.16341463414634147,0.022743902439024393
visual_direction_retrieval,0.5,0.5,1.0,outputs\visual_direction_run\test_subset_alpha0.50_bpos0.50_bneg1.00,0.02926829268292683,0.02926829268292683,0.10121951219512196,0.02609756097560976,0.15792682926829268,0.02304878048780488
visual_direction_retrieval,1.0,1.0,2.0,outputs\visual_direction_run\test_subset_alpha1.00_bpos1.00_bneg2.00,0.02926829268292683,0.02926829268292683,0.10121951219512196,0.02609756097560976,0.15792682926829268,0.02304878048780488
visual_direction_retrieval,0.5,0.5,2.0,outputs\visual_direction_run\test_subset_alpha0.50_bpos0.50_bneg2.00,0.025,0.025,0.09451219512195122,0.02451219512195122,0.14878048780487804,0.02182926829268293
visual_direction_retrieval,2.0,0.5,2.0,outputs\visual_direction_run\test_subset_alpha2.00_bpos0.50_bneg2.00,0.03536585365853658,0.03536585365853658,0.09573170731707317,0.026829268292682926,0.14329268292682926,0.022560975609756097
visual_direction_retrieval,0.5,1.0,0.5,outputs\visual_direction_run\test_subset_alpha0.50_bpos1.00_bneg0.50,0.03231707317073171,0.03231707317073171,0.08902439024390243,0.021707317073170734,0.1402439024390244,0.01926829268292683
visual_direction_retrieval,1.0,2.0,1.0,outputs\visual_direction_run\test_subset_alpha1.00_bpos2.00_bneg1.00,0.03231707317073171,0.03231707317073171,0.08902439024390243,0.021707317073170734,0.1402439024390244,0.01926829268292683
visual_direction_retrieval,0.5,1.0,1.0,outputs\visual_direction_run\test_subset_alpha0.50_bpos1.00_bneg1.00,0.028658536585365855,0.028658536585365855,0.08414634146341464,0.02048780487804878,0.13597560975609757,0.01847560975609756
visual_direction_retrieval,1.0,2.0,2.0,outputs\visual_direction_run\test_subset_alpha1.00_bpos2.00_bneg2.00,0.028658536585365855,0.028658536585365855,0.08414634146341464,0.02048780487804878,0.13597560975609757,0.01847560975609756
visual_direction_retrieval,0.5,1.0,2.0,outputs\visual_direction_run\test_subset_alpha0.50_bpos1.00_bneg2.00,0.024390243902439025,0.024390243902439025,0.07682926829268293,0.018658536585365853,0.12926829268292683,0.017195121951219514
visual_direction_retrieval,0.5,2.0,0.5,outputs\visual_direction_run\test_subset_alpha0.50_bpos2.00_bneg0.50,0.027439024390243903,0.027439024390243903,0.06890243902439025,0.014878048780487806,0.11585365853658537,0.015426829268292683
visual_direction_retrieval,0.5,2.0,1.0,outputs\visual_direction_run\test_subset_alpha0.50_bpos2.00_bneg1.00,0.02621951219512195,0.02621951219512195,0.06524390243902439,0.014146341463414636,0.10853658536585366,0.013902439024390244
visual_direction_retrieval,0.5,2.0,2.0,outputs\visual_direction_run\test_subset_alpha0.50_bpos2.00_bneg2.00,0.020121951219512196,0.020121951219512196,0.06402439024390244,0.013780487804878049,0.1024390243902439,0.012743902439024391
